State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Year,Rainfall,Temperature,WeatherAggregation,WeatherDataSource
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2018,1206.4,26.51,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2019,954.6,27.0,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2020,890.9,26.63,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2021,1250.5,26.65,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2022,1287.7,26.48,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,2023,902.5,26.56,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2013,737.5,23.54,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2014,527.7,23.57,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2015,1012.4,23.02,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2016,495.3,24.73,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2017,512.4,24.07,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2018,509.9,23.74,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2019,700.0,23.18,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2020,525.2,23.33,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2021,479.5,23.83,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2022,782.6,23.95,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,2023,604.3,23.24,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Bihar,Rohtas,24.981550627226348,84.0246058110957,Rohtas,geoBoundaries India ADM2 centroid,2013,961.6,25.17,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Bihar,Rohtas,24.981550627226348,84.0246058110957,Rohtas,geoBoundaries India ADM2 centroid,2014,863.1,25.04,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Bihar,Rohtas,24.981550627226348,84.0246058110957,Rohtas,geoBoundaries India ADM2 centroid,2015,977.5,25.73,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Bihar,Rohtas,24.981550627226348,84.0246058110957,Rohtas,geoBoundaries India ADM2 centroid,2016,1260.1,26.09,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Bihar,Rohtas,24.981550627226348,84.0246058110957,Rohtas,geoBoundaries India ADM2 centroid,2017,1138.7,25.91,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
